alumni_id,name,graduation_year,degree,department,company,job_role,salary,location,experience_level,salary_range
52,Amit,2020,MTech,CSE,Microsoft,Engineer,1111211,Bangalore,Junior,Medium
53,Vikram,2020,MTech,CSE,Microsoft,Analyst,1213266,Chennai,Junior,High
54,Sneha,2022,BTech,CSE,Wipro,Developer,1754494,Hyderabad,Junior,High
55,Amit,2016,BTech,CSE,Infosys,SDE,1691376,Pune,Senior,High
56,Vikram,2021,MTech,ECE,Google,Engineer,1023473,Bangalore,Junior,Medium
57,Vikram,2018,MTech,ECE,Infosys,Analyst,872219,Delhi,Senior,Medium
58,Amit,2017,BTech,IT,Infosys,Analyst,591089,Chennai,Senior,Low
59,Arjun,2022,BTech,CSE,Microsoft,Analyst,1448984,Chennai,Junior,High
60,Priya,2019,MTech,CSE,Infosys,SDE,598227,Pune,Senior,Low
61,Riya,2018,MTech,ECE,Infosys,Developer,541527,Hyderabad,Senior,Low
62,Neha,2017,BTech,IT,TCS,Analyst,587907,Chennai,Senior,Low
63,Priya,2022,MTech,IT,TCS,Developer,1184479,Chennai,Junior,Medium
64,Arjun,2021,BTech,IT,Amazon,Analyst,1148930,Delhi,Junior,Medium
65,Anjali,2018,MTech,IT,Infosys,SDE,860149,Chennai,Senior,Medium
66,Priya,2017,MTech,ECE,Amazon,Developer,1071577,Pune,Senior,Medium
67,Riya,2021,BTech,IT,Google,Developer,1276818,Bangalore,Junior,High
68,Karan,2019,BTech,IT,TCS,Engineer,630171,Pune,Senior,Medium
69,Vikram,2016,BTech,ECE,TCS,Engineer,1449908,Bangalore,Senior,High
70,Riya,2017,MTech,CSE,Microsoft,Engineer,590138,Delhi,Senior,Low
71,Rahul,2020,BTech,CSE,TCS,SDE,1454320,Bangalore,Junior,High
72,Arjun,2023,BTech,CSE,Microsoft,SDE,975930,Delhi,Junior,Medium
73,Riya,2022,BTech,ECE,Wipro,Developer,1656220,Hyderabad,Junior,High
74,Karan,2019,MTech,IT,Amazon,Engineer,1796906,Pune,Senior,High
75,Vikram,2023,MTech,ECE,Wipro,Analyst,712992,Hyderabad,Junior,Medium
76,Amit,2022,MTech,IT,Wipro,Analyst,758766,Pune,Junior,Medium
77,Amit,2018,MTech,IT,Amazon,SDE,1382715,Bangalore,Senior,High
78,Riya,2022,BTech,CSE,TCS,Developer,1317278,Pune,Junior,High
79,Vikram,2019,MTech,IT,Infosys,Engineer,775658,Hyderabad,Senior,Medium
80,Karan,2022,MTech,CSE,Infosys,Engineer,997964,Pune,Junior,Medium
81,Riya,2017,BTech,ECE,Amazon,Engineer,493529,Bangalore,Senior,Low
82,Neha,2022,BTech,IT,TCS,Engineer,1048290,Pune,Junior,Medium
83,Amit,2022,MTech,ECE,Wipro,Engineer,1277515,Delhi,Junior,High
84,Amit,2015,BTech,CSE,Microsoft,Analyst,796877,Delhi,Senior,Medium
85,Vikram,2023,BTech,ECE,Infosys,Analyst,1173113,Pune,Junior,Medium
86,Rahul,2023,BTech,ECE,Google,Engineer,1694049,Chennai,Junior,High
87,Arjun,2023,MTech,CSE,Amazon,Engineer,1866040,Hyderabad,Junior,High
88,Vikram,2019,MTech,ECE,Wipro,Analyst,1920933,Delhi,Senior,High
89,Amit,2019,BTech,IT,Infosys,Developer,1521257,Chennai,Senior,High
90,Arjun,2017,BTech,IT,Microsoft,Analyst,1189501,Delhi,Senior,Medium
91,Vikram,2021,BTech,CSE,Amazon,Developer,717024,Pune,Junior,Medium
92,Rahul,2018,MTech,CSE,Microsoft,Engineer,617923,Delhi,Senior,Medium
93,Riya,2019,MTech,ECE,Amazon,Engineer,1473028,Pune,Senior,High
94,Rahul,2016,BTech,IT,Wipro,Analyst,1147785,Bangalore,Senior,Medium
95,Amit,2019,MTech,ECE,Infosys,Analyst,1501248,Bangalore,Senior,High
96,Vikram,2023,BTech,IT,Infosys,Analyst,1506228,Chennai,Junior,High
97,Riya,2022,BTech,CSE,Google,Developer,1212014,Hyderabad,Junior,High
98,Vikram,2018,MTech,CSE,Infosys,SDE,693158,Pune,Senior,Medium
99,Rahul,2022,MTech,IT,Microsoft,Analyst,1288549,Delhi,Junior,High
100,Karan,2015,BTech,IT,Wipro,Developer,840161,Bangalore,Senior,Medium
